frame_index,class,p10,p11,p20,p21
1868,1,808,621,840,662
1868,2,835,622,868,661
1868,3,770,622,797,650
1868,4,779,621,809,660
1869,0,916,580,944,609
1869,1,808,621,840,662
1869,2,835,622,868,661
1869,3,770,622,797,650
1869,4,779,621,809,660
1870,0,916,580,944,609
1870,1,808,621,840,662
1870,2,835,622,868,661
1870,3,770,622,797,650
1870,4,779,621,809,660
1871,0,916,580,944,609
1871,1,808,621,840,662
1871,2,835,622,868,661
1871,3,770,622,797,650
1871,4,779,621,809,660
1872,0,916,580,944,609
1872,1,808,621,840,662
1872,2,835,622,868,661
1872,3,770,622,797,650
1872,4,779,621,809,660
1873,0,916,580,944,609
1873,1,808,621,840,662
1873,2,835,622,868,661
1873,3,770,622,797,650
1873,4,779,621,809,660
1874,0,916,580,944,609
1874,1,808,621,840,662
1874,2,835,622,868,661
1874,3,770,622,797,650
1874,4,779,621,809,660
1875,0,916,580,944,609
1875,1,808,621,840,662
1875,2,835,622,868,661
1875,3,770,622,797,650
1875,4,779,621,809,660
1876,0,916,580,944,609
1876,1,808,621,840,662
1876,2,835,622,868,661
1876,3,770,622,797,650
1876,4,779,621,809,660
1877,0,916,580,944,609
1877,1,808,621,840,662
1877,2,835,622,868,661
1877,3,770,622,797,650
1877,4,779,621,809,660
1878,0,916,580,944,609
1878,1,808,621,840,662
1878,2,835,622,868,661
1878,3,770,622,797,650
1878,4,779,621,809,660
1879,0,916,580,944,609
1879,1,808,621,840,662
1879,2,835,622,868,661
1879,3,770,622,797,650
1879,4,779,621,809,660
1880,0,916,580,944,609
1880,1,808,621,840,662
1880,2,835,622,868,661
1880,3,770,622,797,650
1880,4,779,621,809,660
1881,0,916,580,944,609
1881,1,808,621,840,662
1881,2,835,622,868,661
1881,3,770,622,797,650
1881,4,779,621,809,660
1882,0,916,580,944,609
1882,1,808,621,840,662
1882,2,835,622,868,661
1882,3,770,622,797,650
1882,4,779,621,809,660
1883,0,916,580,944,609
1883,1,808,621,840,662
1883,2,835,622,868,661
1883,3,770,622,797,650
1883,4,779,621,809,660
1884,0,916,580,944,609
1884,1,808,621,840,662
1884,2,835,622,868,661
1884,3,770,622,797,650
1884,4,779,621,809,660
1885,0,916,580,944,609
1885,1,808,621,840,662
1885,2,835,622,868,661
1885,3,770,622,797,650
1885,4,779,621,809,660
1886,0,916,580,944,609
1886,1,808,621,840,662
1886,2,835,622,868,661
1886,3,770,622,797,650
1886,4,779,621,809,660
1887,0,916,580,944,609
1887,1,808,621,840,662
1887,2,835,622,868,661
1887,3,770,622,797,650
1887,4,779,621,809,660
1888,0,916,580,944,609
1888,1,808,621,840,662
1888,2,835,622,868,661
1888,3,770,622,797,650
1888,4,779,621,809,660
1889,0,916,580,944,609
1889,1,808,621,840,662
1889,2,835,622,868,661
1889,3,770,622,797,650
1889,4,779,621,809,660
1890,0,916,580,944,609
1890,1,808,621,840,662
1890,2,835,622,868,661
1890,3,770,622,797,650
1890,4,779,621,809,660
1891,0,916,580,944,609
1891,1,808,621,840,662
1891,2,835,622,868,661
1891,3,770,622,797,650
1891,4,779,621,809,660
1892,0,916,580,944,609
1892,1,808,621,840,662
1892,2,835,622,868,661
1892,3,770,622,797,650
1892,4,779,621,809,660
1893,0,916,580,944,609
1893,1,808,621,840,662
1893,2,835,622,868,661
1893,3,770,622,797,650
1893,4,779,621,809,660
1894,0,921,577,941,602
1894,1,808,621,840,662
1894,2,835,622,868,661
1894,3,770,622,797,650
1894,4,779,621,809,660
1895,0,921,577,941,602
1895,1,808,621,840,662
1895,2,835,622,868,661
1895,3,770,622,797,650
1895,4,779,621,809,660
1896,0,921,577,941,602
1896,1,808,621,840,662
1896,2,835,622,868,661
1896,3,770,622,797,650
1896,4,779,621,809,660
1897,0,921,577,941,602
1897,1,808,621,840,662
1897,2,835,622,868,661
1897,3,770,622,797,650
1897,4,779,621,809,660
1898,0,921,577,941,602
1898,1,808,621,840,662
1898,2,835,622,868,661
1898,3,770,622,797,650
1898,4,779,621,809,660
1899,0,921,577,941,602
1899,1,808,621,840,662
1899,2,835,622,868,661
1899,3,770,622,797,650
1899,4,779,621,809,660
1900,0,921,577,941,602
1900,1,808,621,840,662
1900,2,835,622,868,661
1900,3,770,622,797,650
1900,4,779,621,809,660
1901,0,921,577,941,602
1901,1,808,621,840,662
1901,2,835,622,868,661
1901,3,770,622,797,650
1901,4,779,621,809,660
1902,0,921,577,941,602
1902,1,808,621,840,662
1902,2,835,622,868,661
1902,3,770,622,797,650
1902,4,779,621,809,660
1903,0,921,577,941,602
1903,1,808,621,840,662
1903,2,835,622,868,661
1903,3,770,622,797,650
1903,4,779,621,809,660
1904,0,921,577,941,602
1904,1,808,621,840,662
1904,2,835,622,868,661
1904,3,770,622,797,650
1904,4,779,621,809,660
1905,0,921,577,941,602
1905,1,808,621,840,662
1905,2,835,622,868,661
1905,3,770,622,797,650
1905,4,779,621,809,660
1906,0,921,577,941,602
1906,1,808,621,840,662
1906,2,835,622,868,661
1906,3,770,622,797,650
1906,4,779,621,809,660
1907,0,921,577,941,602
1907,1,808,621,840,662
1907,2,835,622,868,661
1907,3,770,622,797,650
1907,4,779,621,809,660
1908,0,921,577,941,602
1908,1,808,621,840,662
1908,2,835,622,868,661
1908,3,770,622,797,650
1908,4,779,621,809,660
1909,0,921,577,941,602
1909,1,808,621,840,662
1909,2,835,622,868,661
1909,3,770,622,797,650
1909,4,779,621,809,660
1910,1,802,616,842,655
1910,3,766,620,799,652
1910,4,776,623,813,663
1910,0,920,577,941,602
1910,2,835,622,868,661
1911,1,802,616,842,655
1911,3,766,620,799,652
1911,4,776,623,813,663
1911,0,920,578,942,603
1911,2,835,622,868,661
1912,1,802,616,842,655
1912,3,766,620,799,652
1912,4,776,623,813,663
1912,0,920,577,942,603
1912,2,835,622,868,661
1913,1,802,616,842,655
1913,3,766,620,799,652
1913,4,776,623,813,663
1913,0,919,577,942,603
1913,2,835,622,868,661
1914,0,917,578,942,604
1914,1,802,616,842,655
1914,3,766,620,799,652
1914,4,776,623,813,663
1914,2,835,622,868,661
1915,0,917,578,942,604
1915,1,802,616,842,655
1915,3,766,620,799,652
1915,4,776,623,813,663
1915,2,835,622,868,661
1916,0,917,578,942,604
1916,1,802,616,842,655
1916,3,766,620,799,652
1916,4,776,623,813,663
1916,2,835,622,868,661
1917,0,917,578,942,604
1917,1,802,616,842,655
1917,3,766,620,799,652
1917,4,776,623,813,663
1917,2,835,622,868,661
1918,0,917,578,942,604
1918,1,802,616,842,655
1918,3,766,620,799,652
1918,4,776,623,813,663
1918,2,835,622,868,661
1919,0,917,578,942,604
1919,1,802,616,842,655
1919,3,766,620,799,652
1919,4,776,623,813,663
1919,2,835,622,868,661
1920,0,917,578,942,604
1920,1,802,616,842,655
1920,3,766,620,799,652
1920,4,776,623,813,663
1920,2,835,622,868,661
1921,0,917,578,942,604
1921,1,802,616,842,655
1921,3,766,620,799,652
1921,4,776,623,813,663
1921,2,835,622,868,661
1922,0,917,578,942,604
1922,1,802,616,842,655
1922,3,766,620,799,652
1922,4,776,623,813,663
1922,2,835,622,868,661
1923,0,917,578,942,604
1923,1,802,616,842,655
1923,3,766,620,799,652
1923,4,776,623,813,663
1923,2,835,622,868,661
1924,0,917,578,942,604
1924,1,802,616,842,655
1924,3,766,620,799,652
1924,4,776,623,813,663
1924,2,835,622,868,661
1925,0,917,578,942,604
1925,1,802,616,842,655
1925,3,766,620,799,652
1925,4,776,623,813,663
1925,2,835,622,868,661
1926,0,917,578,942,604
1926,1,802,616,842,655
1926,3,766,620,799,652
1926,4,776,623,813,663
1926,2,835,622,868,661
1927,0,917,578,942,604
1927,1,802,616,842,655
1927,3,766,620,799,652
1927,4,776,623,813,663
1927,2,835,622,868,661
1928,0,917,578,942,604
1928,1,802,616,842,655
1928,3,766,620,799,652
1928,4,776,623,813,663
1928,2,835,622,868,661
1929,0,917,578,942,604
1929,1,802,616,842,655
1929,3,766,620,799,652
1929,4,776,623,813,663
1929,2,835,622,868,661
1930,0,917,578,942,604
1930,1,802,616,842,655
1930,3,766,620,799,652
1930,4,776,623,813,663
1930,2,835,622,868,661
1931,0,917,578,942,604
1931,1,802,616,842,655
1931,3,766,620,799,652
1931,4,776,623,813,663
1931,2,835,622,868,661
1932,0,917,578,942,604
1932,1,802,616,842,655
1932,3,766,620,799,652
1932,4,776,623,813,663
1932,2,835,622,868,661
1933,0,917,578,942,604
1933,1,802,616,842,655
1933,3,766,620,799,652
1933,4,776,623,813,663
1933,2,835,622,868,661
1934,0,917,578,942,604
1934,1,802,616,842,655
1934,3,766,620,799,652
1934,4,776,623,813,663
1934,2,835,622,868,661
1935,0,917,578,942,604
1935,1,802,616,842,655
1935,3,766,620,799,652
1935,4,776,623,813,663
1935,2,835,622,868,661
1936,0,917,578,942,604
1936,1,802,616,842,655
1936,3,766,620,799,652
1936,4,776,623,813,663
1936,2,835,622,868,661
1937,0,917,578,942,604
1937,1,802,616,842,655
1937,3,766,620,799,652
1937,4,776,623,813,663
1937,2,835,622,868,661
1938,0,917,578,942,604
1938,1,802,616,842,655
1938,3,766,620,799,652
1938,4,776,623,813,663
1938,2,835,622,868,661
1939,0,917,578,942,604
1939,1,802,616,842,655
1939,3,766,620,799,652
1939,4,776,623,813,663
1939,2,835,622,868,661
1940,0,917,578,942,604
1940,1,802,616,842,655
1940,3,766,620,799,652
1940,4,776,623,813,663
1940,2,835,622,868,661
1941,0,917,578,942,604
1941,1,802,616,842,655
1941,3,766,620,799,652
1941,4,776,623,813,663
1941,2,835,622,868,661
1942,0,917,578,942,604
1942,1,802,616,842,655
1942,3,766,620,799,652
1942,4,776,623,813,663
1942,2,835,622,868,661
1943,0,917,578,942,604
1943,1,802,616,842,655
1943,3,766,620,799,652
1943,4,776,623,813,663
1943,2,835,622,868,661
1944,0,917,578,942,604
1944,1,802,616,842,655
1944,3,766,620,799,652
1944,4,776,623,813,663
1944,2,835,622,868,661
1945,0,917,578,942,604
1945,1,802,616,842,655
1945,3,766,620,799,652
1945,4,776,623,813,663
1945,2,835,622,868,661
1946,0,917,578,942,604
1946,1,802,616,842,655
1946,3,766,620,799,652
1946,4,776,623,813,663
1946,2,835,622,868,661
1947,0,917,578,942,604
1947,1,802,616,842,655
1947,3,766,620,799,652
1947,4,776,623,813,663
1947,2,835,622,868,661
1948,0,917,578,942,604
1948,1,802,616,842,655
1948,3,766,620,799,652
1948,4,776,623,813,663
1948,2,835,622,868,661
1949,0,917,578,942,604
1949,1,802,616,842,655
1949,3,766,620,799,652
1949,4,776,623,813,663
1949,2,835,622,868,661
1950,0,917,578,942,604
1950,1,802,616,842,655
1950,3,766,620,799,652
1950,4,776,623,813,663
1950,2,835,622,868,661
1951,0,917,578,942,604
1951,1,802,616,842,655
1951,3,766,620,799,652
1951,4,776,623,813,663
1951,2,835,622,868,661
1952,0,917,578,942,604
1952,1,802,616,842,655
1952,3,766,620,799,652
1952,4,776,623,813,663
1952,2,835,622,868,661
1953,0,917,578,942,604
1953,1,802,616,842,655
1953,2,835,622,868,661
1953,3,766,620,799,652
1953,4,776,623,813,663
1954,0,918,578,943,604
1954,1,802,616,842,655
1954,2,835,622,868,661
1954,3,766,620,799,652
1954,4,776,623,813,663
1955,0,918,578,943,604
1955,1,802,616,842,655
1955,2,835,622,868,661
1955,3,767,620,800,652
1955,4,776,623,813,663
1956,0,918,578,943,604
1956,1,802,616,842,655
1956,2,835,622,868,661
1956,3,767,620,800,652
1956,4,776,623,813,663
1957,0,918,578,943,604
1957,1,802,616,842,655
1957,2,835,622,868,661
1957,3,767,620,800,652
1957,4,776,623,813,663
1958,0,918,578,943,604
1958,1,802,616,842,655
1958,2,835,622,868,661
1958,3,767,620,800,652
1958,4,776,623,813,663
1959,0,918,578,943,604
1959,1,802,616,842,655
1959,2,835,622,868,661
1959,3,767,620,800,652
1959,4,776,623,813,663
1960,0,918,578,943,604
1960,1,802,616,842,655
1960,2,835,622,868,661
1960,3,767,620,800,652
1960,4,776,623,813,663
1961,0,918,578,943,604
1961,1,802,616,842,655
1961,2,835,622,868,661
1961,3,768,620,801,652
1961,4,776,623,813,663
1962,0,918,578,943,604
1962,1,802,616,842,655
1962,2,835,622,868,661
1962,3,768,620,801,652
1962,4,776,623,813,663
1963,0,918,578,943,604
1963,1,802,616,842,655
1963,2,835,622,868,661
1963,3,768,620,801,652
1963,4,776,623,813,663
1964,0,918,578,943,604
1964,1,802,616,842,655
1964,2,835,622,868,661
1964,3,768,620,801,652
1964,4,776,623,813,663
1965,0,919,578,944,604
1965,1,802,616,842,655
1965,2,835,622,868,661
1965,3,768,620,801,652
1965,4,776,623,813,663
1966,0,919,579,944,605
1966,1,802,616,842,655
1966,2,835,622,868,661
1966,3,768,620,801,652
1966,4,776,623,813,663
1967,0,919,579,944,605
1967,1,802,616,842,655
1967,2,835,622,868,661
1967,3,768,620,801,652
1967,4,776,623,813,663
1968,0,919,579,944,605
1968,1,802,616,842,655
1968,2,835,622,868,661
1968,3,769,620,802,652
1968,4,776,622,813,662
1969,0,919,579,944,605
1969,1,802,616,842,655
1969,2,835,622,868,661
1969,3,769,620,802,652
1969,4,776,622,813,662
1970,0,919,579,944,605
1970,1,802,616,842,655
1970,2,835,622,868,661
1970,3,769,620,802,652
1970,4,776,622,813,662
1971,0,919,579,944,605
1971,1,802,616,842,655
1971,2,835,622,868,661
1971,3,769,620,802,652
1971,4,776,622,813,662
1972,0,919,579,944,605
1972,1,802,617,842,656
1972,2,835,622,868,661
1972,3,769,620,802,652
1972,4,776,622,813,662
1973,0,919,579,944,605
1973,1,802,617,842,656
1973,2,835,622,868,661
1973,3,769,620,802,652
1973,4,776,622,813,662
1974,0,919,578,944,605
1974,1,802,617,842,656
1974,2,835,622,868,661
1974,3,770,620,803,652
1974,4,776,622,813,662
1975,0,920,578,945,605
1975,1,802,617,842,656
1975,2,835,622,868,661
1975,3,770,620,803,652
1975,4,776,622,813,662
1976,0,920,578,945,605
1976,1,802,617,842,656
1976,2,835,622,868,661
1976,3,770,620,803,652
1976,4,776,622,813,662
1977,0,920,578,945,605
1977,1,802,617,842,656
1977,2,835,622,868,661
1977,3,770,620,803,652
1977,4,776,622,813,662
1978,0,920,578,945,605
1978,1,802,617,842,656
1978,2,835,622,868,661
1978,3,770,620,803,652
1978,4,776,622,813,662
1979,0,920,578,945,605
1979,1,802,617,842,656
1979,2,835,622,868,661
1979,3,770,620,803,652
1979,4,776,622,813,662
1980,0,920,578,945,605
1980,1,802,617,842,656
1980,2,835,622,868,661
1980,3,770,620,803,652
1980,4,776,622,813,662
1981,0,920,578,945,605
1981,1,802,617,842,656
1981,2,835,622,868,661
1981,3,771,620,804,652
1981,4,776,622,813,662
1982,0,920,578,945,605
1982,1,802,617,842,656
1982,2,835,622,868,661
1982,3,771,620,804,652
1982,4,776,622,813,662
1983,0,920,578,945,605
1983,1,802,617,842,656
1983,2,835,622,868,661
1983,3,771,620,804,652
1983,4,776,622,813,662
1984,0,920,578,945,605
1984,1,802,617,842,656
1984,2,835,622,868,661
1984,3,771,620,804,652
1984,4,776,622,813,662
1985,0,920,578,945,605
1985,1,802,617,842,656
1985,2,835,622,868,661
1985,3,771,620,804,652
1985,4,776,622,813,662
1986,0,921,579,946,606
1986,1,802,617,842,656
1986,2,835,622,868,661
1986,3,771,620,804,652
1986,4,776,622,813,662
1987,0,921,579,946,606
1987,1,802,617,842,656
1987,2,835,622,868,661
1987,3,772,620,805,652
1987,4,776,622,813,662
1988,0,921,579,946,606
1988,1,802,617,842,656
1988,2,835,622,868,661
1988,3,772,620,805,652
1988,4,776,622,813,662
1989,0,921,579,946,606
1989,1,802,617,842,656
1989,2,835,622,868,661
1989,3,772,620,805,652
1989,4,776,622,813,662
1990,0,921,579,946,606
1990,1,802,617,842,656
1990,2,835,622,868,661
1990,3,772,620,805,652
1990,4,776,622,813,662
1991,0,921,579,946,606
1991,1,803,617,842,656
1991,2,835,622,868,661
1991,3,772,620,805,652
1991,4,776,622,813,662
1992,0,921,579,946,606
1992,1,803,617,842,656
1992,2,835,622,868,661
1992,3,772,620,805,652
1992,4,776,622,813,662
1993,0,921,579,946,606
1993,1,803,617,842,656
1993,2,835,622,868,661
1993,3,772,620,805,652
1993,4,776,622,813,662
1994,0,921,579,946,606
1994,1,803,617,842,656
1994,2,835,622,868,661
1994,3,773,620,806,652
1994,4,776,622,813,662
1995,0,921,579,946,606
1995,1,803,617,842,656
1995,2,835,622,868,661
1995,3,773,620,806,652
1995,4,776,622,813,662
1996,0,921,579,946,606
1996,1,803,617,842,656
1996,2,835,622,868,661
1996,3,773,620,806,652
1996,4,776,622,813,662
1997,0,922,579,947,606
1997,1,803,617,842,656
1997,2,835,622,868,661
1997,3,773,620,806,652
1997,4,776,622,813,662
1998,0,922,579,947,606
1998,1,803,617,842,656
1998,2,835,622,868,661
1998,3,773,620,806,652
1998,4,776,622,813,662
1999,0,922,579,947,606
1999,1,803,617,842,656
1999,2,835,622,868,661
1999,3,773,620,806,652
1999,4,776,622,813,662
2000,0,922,579,947,606
2000,1,803,617,842,656
2000,2,835,622,868,661
2000,3,773,619,806,651
2000,4,776,622,813,662
2001,0,922,579,947,606
2001,1,803,617,842,656
2001,2,835,622,868,661
2001,3,774,619,807,651
2001,4,776,622,813,662
2002,0,922,579,947,606
2002,1,803,617,842,656
2002,2,835,622,868,661
2002,3,774,619,807,651
2002,4,776,622,813,662
2003,0,922,579,947,606
2003,1,803,617,842,656
2003,2,835,622,868,661
2003,3,774,619,807,651
2003,4,776,622,813,662
2004,0,922,579,947,606
2004,1,803,617,842,656
2004,2,835,622,868,661
2004,3,774,619,807,651
2004,4,776,622,813,662
2005,0,922,579,947,606
2005,1,803,617,842,656
2005,2,835,622,868,661
2005,3,774,619,807,651
2005,4,776,622,813,662
2006,0,922,580,947,607
2006,1,803,617,842,656
2006,2,835,622,868,661
2006,3,774,619,807,651
2006,4,776,622,813,662
2007,0,923,580,948,607
2007,1,803,617,842,656
2007,2,835,622,868,661
2007,3,775,619,808,651
2007,4,776,622,813,662
2008,0,923,580,948,607
2008,1,803,617,842,656
2008,2,835,622,868,661
2008,3,775,619,808,651
2008,4,776,622,813,662
2009,0,923,580,948,607
2009,1,803,617,842,656
2009,2,835,622,868,661
2009,3,775,619,808,651
2009,4,776,622,813,662
2010,0,923,580,948,607
2010,1,803,617,842,656
2010,2,835,622,868,661
2010,3,775,619,808,651
2010,4,776,622,813,662
2011,0,923,580,948,607
2011,1,803,617,842,656
2011,2,835,622,868,661
2011,3,775,619,808,651
2011,4,777,622,813,662
2012,0,923,580,948,607
2012,1,803,617,842,656
2012,2,835,622,868,661
2012,3,775,619,808,651
2012,4,777,622,813,662
2013,0,923,580,948,607
2013,1,803,617,842,656
2013,2,835,622,868,661
2013,3,775,619,808,651
2013,4,777,622,813,662
2014,0,923,580,948,607
2014,1,803,617,842,656
2014,2,835,622,868,661
2014,3,776,619,809,651
2014,4,777,622,813,662
2015,0,923,580,948,607
2015,1,803,617,842,656
2015,2,835,622,868,661
2015,3,776,619,809,651
2015,4,777,622,813,662
2016,0,923,580,948,607
2016,1,803,617,842,656
2016,2,835,622,868,661
2016,3,776,619,809,651
2016,4,777,622,813,662
2017,0,924,580,949,607
