,Propositions
466,"blue = 50, purple = 20, red = 10"
467,"blue = 50, purple = 30, red = 10"
468,"blue = 50, purple = 40, red = 10"
469,"blue = 50, purple = 50, red = 10"
470,"blue = 50, red = 10, yellow = 10"
471,"blue = 50, red = 10, yellow = 20"
472,"blue = 50, red = 10, yellow = 30"
473,"blue = 50, red = 10, yellow = 40"
474,"blue = 50, red = 10, yellow = 50"
475,"green = 10, purple = 10, red = 10"
476,"green = 10, purple = 20, red = 10"
477,"green = 10, purple = 30, red = 10"
478,"green = 10, purple = 40, red = 10"
479,"green = 10, purple = 50, red = 10"
480,"green = 10, red = 10, yellow = 10"
481,"green = 10, red = 10, yellow = 20"
482,"green = 10, red = 10, yellow = 30"
483,"green = 10, red = 10, yellow = 40"
484,"green = 10, red = 10, yellow = 50"
485,"green = 20, purple = 10, red = 10"
486,"green = 20, purple = 20, red = 10"
487,"green = 20, purple = 30, red = 10"
488,"green = 20, purple = 40, red = 10"
489,"green = 20, purple = 50, red = 10"
490,"green = 20, red = 10, yellow = 10"
491,"green = 20, red = 10, yellow = 20"
492,"green = 20, red = 10, yellow = 30"
493,"green = 20, red = 10, yellow = 40"
494,"green = 20, red = 10, yellow = 50"
495,"green = 30, purple = 10, red = 10"
496,"green = 30, purple = 20, red = 10"
497,"green = 30, purple = 30, red = 10"
498,"green = 30, purple = 40, red = 10"
499,"green = 30, purple = 50, red = 10"
500,"green = 30, red = 10, yellow = 10"
501,"green = 30, red = 10, yellow = 20"
502,"green = 30, red = 10, yellow = 30"
503,"green = 30, red = 10, yellow = 40"
504,"green = 30, red = 10, yellow = 50"
505,"green = 40, purple = 10, red = 10"
506,"green = 40, purple = 20, red = 10"
507,"green = 40, purple = 30, red = 10"
508,"green = 40, purple = 40, red = 10"
509,"green = 40, purple = 50, red = 10"
510,"green = 40, red = 10, yellow = 10"
511,"green = 40, red = 10, yellow = 20"
512,"green = 40, red = 10, yellow = 30"
513,"green = 40, red = 10, yellow = 40"
514,"green = 40, red = 10, yellow = 50"
515,"green = 50, purple = 10, red = 10"
516,"green = 50, purple = 20, red = 10"
517,"green = 50, purple = 30, red = 10"
518,"green = 50, purple = 40, red = 10"
519,"green = 50, purple = 50, red = 10"
520,"green = 50, red = 10, yellow = 10"
521,"green = 50, red = 10, yellow = 20"
522,"green = 50, red = 10, yellow = 30"
523,"green = 50, red = 10, yellow = 40"
524,"green = 50, red = 10, yellow = 50"
525,"purple = 10, red = 10, yellow = 10"
526,"purple = 10, red = 10, yellow = 20"
527,"purple = 10, red = 10, yellow = 30"
528,"purple = 10, red = 10, yellow = 40"
529,"purple = 10, red = 10, yellow = 50"
530,"purple = 20, red = 10, yellow = 10"
531,"purple = 20, red = 10, yellow = 20"
532,"purple = 20, red = 10, yellow = 30"
533,"purple = 20, red = 10, yellow = 40"
534,"purple = 20, red = 10, yellow = 50"
535,"purple = 30, red = 10, yellow = 10"
536,"purple = 30, red = 10, yellow = 20"
537,"purple = 30, red = 10, yellow = 30"
538,"purple = 30, red = 10, yellow = 40"
539,"purple = 30, red = 10, yellow = 50"
540,"purple = 40, red = 10, yellow = 10"
541,"purple = 40, red = 10, yellow = 20"
542,"purple = 40, red = 10, yellow = 30"
543,"purple = 40, red = 10, yellow = 40"
544,"purple = 40, red = 10, yellow = 50"
545,"purple = 50, red = 10, yellow = 10"
546,"purple = 50, red = 10, yellow = 20"
547,"purple = 50, red = 10, yellow = 30"
548,"purple = 50, red = 10, yellow = 40"
549,"purple = 50, red = 10, yellow = 50"
550,"blue = 10, green = 10, red = 20"
551,"blue = 10, green = 20, red = 20"
552,"blue = 10, green = 30, red = 20"
553,"blue = 10, green = 40, red = 20"
554,"blue = 10, green = 50, red = 20"
555,"blue = 10, purple = 10, red = 20"
556,"blue = 10, purple = 20, red = 20"
557,"blue = 10, purple = 30, red = 20"
558,"blue = 10, purple = 40, red = 20"
559,"blue = 10, purple = 50, red = 20"
560,"blue = 10, red = 20, yellow = 10"
561,"blue = 10, red = 20, yellow = 20"
562,"blue = 10, red = 20, yellow = 30"
563,"blue = 10, red = 20, yellow = 40"
564,"blue = 10, red = 20, yellow = 50"
565,"blue = 20, green = 10, red = 20"
566,"blue = 20, green = 20, red = 20"
567,"blue = 20, green = 30, red = 20"
568,"blue = 20, green = 40, red = 20"
569,"blue = 20, green = 50, red = 20"
570,"blue = 20, purple = 10, red = 20"
571,"blue = 20, purple = 20, red = 20"
572,"blue = 20, purple = 30, red = 20"
573,"blue = 20, purple = 40, red = 20"
574,"blue = 20, purple = 50, red = 20"
575,"blue = 20, red = 20, yellow = 10"
576,"blue = 20, red = 20, yellow = 20"
577,"blue = 20, red = 20, yellow = 30"
578,"blue = 20, red = 20, yellow = 40"
579,"blue = 20, red = 20, yellow = 50"
580,"blue = 30, green = 10, red = 20"
581,"blue = 30, green = 20, red = 20"
582,"blue = 30, green = 30, red = 20"
583,"blue = 30, green = 40, red = 20"
584,"blue = 30, green = 50, red = 20"
585,"blue = 30, purple = 10, red = 20"
586,"blue = 30, purple = 20, red = 20"
587,"blue = 30, purple = 30, red = 20"
588,"blue = 30, purple = 40, red = 20"
589,"blue = 30, purple = 50, red = 20"
590,"blue = 30, red = 20, yellow = 10"
591,"blue = 30, red = 20, yellow = 20"
592,"blue = 30, red = 20, yellow = 30"
593,"blue = 30, red = 20, yellow = 40"
594,"blue = 30, red = 20, yellow = 50"
595,"blue = 40, green = 10, red = 20"
596,"blue = 40, green = 20, red = 20"
597,"blue = 40, green = 30, red = 20"
598,"blue = 40, green = 40, red = 20"
599,"blue = 40, green = 50, red = 20"
600,"blue = 40, purple = 10, red = 20"
601,"blue = 40, purple = 20, red = 20"
602,"blue = 40, purple = 30, red = 20"
603,"blue = 40, purple = 40, red = 20"
604,"blue = 40, purple = 50, red = 20"
605,"blue = 40, red = 20, yellow = 10"
606,"blue = 40, red = 20, yellow = 20"
607,"blue = 40, red = 20, yellow = 30"
608,"blue = 40, red = 20, yellow = 40"
609,"blue = 40, red = 20, yellow = 50"
610,"blue = 50, green = 10, red = 20"
611,"blue = 50, green = 20, red = 20"
612,"blue = 50, green = 30, red = 20"
613,"blue = 50, green = 40, red = 20"
614,"blue = 50, green = 50, red = 20"
615,"blue = 50, purple = 10, red = 20"
616,"blue = 50, purple = 20, red = 20"
617,"blue = 50, purple = 30, red = 20"
618,"blue = 50, purple = 40, red = 20"
619,"blue = 50, purple = 50, red = 20"
620,"blue = 50, red = 20, yellow = 10"
621,"blue = 50, red = 20, yellow = 20"
622,"blue = 50, red = 20, yellow = 30"
623,"blue = 50, red = 20, yellow = 40"
624,"blue = 50, red = 20, yellow = 50"
625,"green = 10, purple = 10, red = 20"
626,"green = 10, purple = 20, red = 20"
627,"green = 10, purple = 30, red = 20"
628,"green = 10, purple = 40, red = 20"
629,"green = 10, purple = 50, red = 20"
630,"green = 10, red = 20, yellow = 10"
631,"green = 10, red = 20, yellow = 20"
632,"green = 10, red = 20, yellow = 30"
633,"green = 10, red = 20, yellow = 40"
634,"green = 10, red = 20, yellow = 50"
635,"green = 20, purple = 10, red = 20"
636,"green = 20, purple = 20, red = 20"
637,"green = 20, purple = 30, red = 20"
638,"green = 20, purple = 40, red = 20"
639,"green = 20, purple = 50, red = 20"
640,"green = 20, red = 20, yellow = 10"
641,"green = 20, red = 20, yellow = 20"
642,"green = 20, red = 20, yellow = 30"
643,"green = 20, red = 20, yellow = 40"
644,"green = 20, red = 20, yellow = 50"
645,"green = 30, purple = 10, red = 20"
646,"green = 30, purple = 20, red = 20"
647,"green = 30, purple = 30, red = 20"
648,"green = 30, purple = 40, red = 20"
649,"green = 30, purple = 50, red = 20"
650,"green = 30, red = 20, yellow = 10"
651,"green = 30, red = 20, yellow = 20"
652,"green = 30, red = 20, yellow = 30"
653,"green = 30, red = 20, yellow = 40"
654,"green = 30, red = 20, yellow = 50"
655,"green = 40, purple = 10, red = 20"
656,"green = 40, purple = 20, red = 20"
657,"green = 40, purple = 30, red = 20"
658,"green = 40, purple = 40, red = 20"
659,"green = 40, purple = 50, red = 20"
660,"green = 40, red = 20, yellow = 10"
661,"green = 40, red = 20, yellow = 20"
662,"green = 40, red = 20, yellow = 30"
663,"green = 40, red = 20, yellow = 40"
664,"green = 40, red = 20, yellow = 50"
665,"green = 50, purple = 10, red = 20"
666,"green = 50, purple = 20, red = 20"
667,"green = 50, purple = 30, red = 20"
668,"green = 50, purple = 40, red = 20"
669,"green = 50, purple = 50, red = 20"
670,"green = 50, red = 20, yellow = 10"
671,"green = 50, red = 20, yellow = 20"
672,"green = 50, red = 20, yellow = 30"
673,"green = 50, red = 20, yellow = 40"
674,"green = 50, red = 20, yellow = 50"
675,"purple = 10, red = 20, yellow = 10"
676,"purple = 10, red = 20, yellow = 20"
677,"purple = 10, red = 20, yellow = 30"
678,"purple = 10, red = 20, yellow = 40"
679,"purple = 10, red = 20, yellow = 50"
680,"purple = 20, red = 20, yellow = 10"
681,"purple = 20, red = 20, yellow = 20"
682,"purple = 20, red = 20, yellow = 30"
683,"purple = 20, red = 20, yellow = 40"
684,"purple = 20, red = 20, yellow = 50"
685,"purple = 30, red = 20, yellow = 10"
686,"purple = 30, red = 20, yellow = 20"
687,"purple = 30, red = 20, yellow = 30"
688,"purple = 30, red = 20, yellow = 40"
689,"purple = 30, red = 20, yellow = 50"
690,"purple = 40, red = 20, yellow = 10"
691,"purple = 40, red = 20, yellow = 20"
692,"purple = 40, red = 20, yellow = 30"
693,"purple = 40, red = 20, yellow = 40"
694,"purple = 40, red = 20, yellow = 50"
695,"purple = 50, red = 20, yellow = 10"
696,"purple = 50, red = 20, yellow = 20"
697,"purple = 50, red = 20, yellow = 30"
698,"purple = 50, red = 20, yellow = 40"
699,"purple = 50, red = 20, yellow = 50"
700,"blue = 10, green = 10, red = 30"
701,"blue = 10, green = 20, red = 30"
702,"blue = 10, green = 30, red = 30"
703,"blue = 10, green = 40, red = 30"
704,"blue = 10, green = 50, red = 30"
705,"blue = 10, purple = 10, red = 30"
706,"blue = 10, purple = 20, red = 30"
707,"blue = 10, purple = 30, red = 30"
708,"blue = 10, purple = 40, red = 30"
709,"blue = 10, purple = 50, red = 30"
710,"blue = 10, red = 30, yellow = 10"
711,"blue = 10, red = 30, yellow = 20"
712,"blue = 10, red = 30, yellow = 30"
713,"blue = 10, red = 30, yellow = 40"
714,"blue = 10, red = 30, yellow = 50"
715,"blue = 20, green = 10, red = 30"
716,"blue = 20, green = 20, red = 30"
717,"blue = 20, green = 30, red = 30"
718,"blue = 20, green = 40, red = 30"
719,"blue = 20, green = 50, red = 30"
720,"blue = 20, purple = 10, red = 30"
721,"blue = 20, purple = 20, red = 30"
722,"blue = 20, purple = 30, red = 30"
723,"blue = 20, purple = 40, red = 30"
724,"blue = 20, purple = 50, red = 30"
725,"blue = 20, red = 30, yellow = 10"
726,"blue = 20, red = 30, yellow = 20"
727,"blue = 20, red = 30, yellow = 30"
728,"blue = 20, red = 30, yellow = 40"
729,"blue = 20, red = 30, yellow = 50"
730,"blue = 30, green = 10, red = 30"
731,"blue = 30, green = 20, red = 30"
732,"blue = 30, green = 30, red = 30"
733,"blue = 30, green = 40, red = 30"
734,"blue = 30, green = 50, red = 30"
735,"blue = 30, purple = 10, red = 30"
736,"blue = 30, purple = 20, red = 30"
737,"blue = 30, purple = 30, red = 30"
738,"blue = 30, purple = 40, red = 30"
739,"blue = 30, purple = 50, red = 30"
740,"blue = 30, red = 30, yellow = 10"
741,"blue = 30, red = 30, yellow = 20"
742,"blue = 30, red = 30, yellow = 30"
743,"blue = 30, red = 30, yellow = 40"
744,"blue = 30, red = 30, yellow = 50"
745,"blue = 40, green = 10, red = 30"
746,"blue = 40, green = 20, red = 30"
747,"blue = 40, green = 30, red = 30"
748,"blue = 40, green = 40, red = 30"
749,"blue = 40, green = 50, red = 30"
750,"blue = 40, purple = 10, red = 30"
751,"blue = 40, purple = 20, red = 30"
752,"blue = 40, purple = 30, red = 30"
753,"blue = 40, purple = 40, red = 30"
754,"blue = 40, purple = 50, red = 30"
755,"blue = 40, red = 30, yellow = 10"
756,"blue = 40, red = 30, yellow = 20"
757,"blue = 40, red = 30, yellow = 30"
758,"blue = 40, red = 30, yellow = 40"
759,"blue = 40, red = 30, yellow = 50"
760,"blue = 50, green = 10, red = 30"
761,"blue = 50, green = 20, red = 30"
762,"blue = 50, green = 30, red = 30"
763,"blue = 50, green = 40, red = 30"
764,"blue = 50, green = 50, red = 30"
765,"blue = 50, purple = 10, red = 30"
766,"blue = 50, purple = 20, red = 30"
767,"blue = 50, purple = 30, red = 30"
768,"blue = 50, purple = 40, red = 30"
769,"blue = 50, purple = 50, red = 30"
770,"blue = 50, red = 30, yellow = 10"
771,"blue = 50, red = 30, yellow = 20"
772,"blue = 50, red = 30, yellow = 30"
773,"blue = 50, red = 30, yellow = 40"
774,"blue = 50, red = 30, yellow = 50"
775,"green = 10, purple = 10, red = 30"
776,"green = 10, purple = 20, red = 30"
777,"green = 10, purple = 30, red = 30"
778,"green = 10, purple = 40, red = 30"
779,"green = 10, purple = 50, red = 30"
780,"green = 10, red = 30, yellow = 10"
781,"green = 10, red = 30, yellow = 20"
782,"green = 10, red = 30, yellow = 30"
783,"green = 10, red = 30, yellow = 40"
784,"green = 10, red = 30, yellow = 50"
785,"green = 20, purple = 10, red = 30"
786,"green = 20, purple = 20, red = 30"
787,"green = 20, purple = 30, red = 30"
788,"green = 20, purple = 40, red = 30"
789,"green = 20, purple = 50, red = 30"
790,"green = 20, red = 30, yellow = 10"
791,"green = 20, red = 30, yellow = 20"
792,"green = 20, red = 30, yellow = 30"
793,"green = 20, red = 30, yellow = 40"
794,"green = 20, red = 30, yellow = 50"
795,"green = 30, purple = 10, red = 30"
796,"green = 30, purple = 20, red = 30"
797,"green = 30, purple = 30, red = 30"
798,"green = 30, purple = 40, red = 30"
799,"green = 30, purple = 50, red = 30"
800,"green = 30, red = 30, yellow = 10"
801,"green = 30, red = 30, yellow = 20"
802,"green = 30, red = 30, yellow = 30"
803,"green = 30, red = 30, yellow = 40"
804,"green = 30, red = 30, yellow = 50"
805,"green = 40, purple = 10, red = 30"
806,"green = 40, purple = 20, red = 30"
807,"green = 40, purple = 30, red = 30"
808,"green = 40, purple = 40, red = 30"
809,"green = 40, purple = 50, red = 30"
810,"green = 40, red = 30, yellow = 10"
811,"green = 40, red = 30, yellow = 20"
812,"green = 40, red = 30, yellow = 30"
813,"green = 40, red = 30, yellow = 40"
814,"green = 40, red = 30, yellow = 50"
815,"green = 50, purple = 10, red = 30"
816,"green = 50, purple = 20, red = 30"
817,"green = 50, purple = 30, red = 30"
818,"green = 50, purple = 40, red = 30"
819,"green = 50, purple = 50, red = 30"
820,"green = 50, red = 30, yellow = 10"
821,"green = 50, red = 30, yellow = 20"
822,"green = 50, red = 30, yellow = 30"
823,"green = 50, red = 30, yellow = 40"
824,"green = 50, red = 30, yellow = 50"
825,"purple = 10, red = 30, yellow = 10"
826,"purple = 10, red = 30, yellow = 20"
827,"purple = 10, red = 30, yellow = 30"
828,"purple = 10, red = 30, yellow = 40"
829,"purple = 10, red = 30, yellow = 50"
830,"purple = 20, red = 30, yellow = 10"
831,"purple = 20, red = 30, yellow = 20"
832,"purple = 20, red = 30, yellow = 30"
833,"purple = 20, red = 30, yellow = 40"
834,"purple = 20, red = 30, yellow = 50"
835,"purple = 30, red = 30, yellow = 10"
836,"purple = 30, red = 30, yellow = 20"
837,"purple = 30, red = 30, yellow = 30"
838,"purple = 30, red = 30, yellow = 40"
839,"purple = 30, red = 30, yellow = 50"
840,"purple = 40, red = 30, yellow = 10"
841,"purple = 40, red = 30, yellow = 20"
842,"purple = 40, red = 30, yellow = 30"
843,"purple = 40, red = 30, yellow = 40"
844,"purple = 40, red = 30, yellow = 50"
845,"purple = 50, red = 30, yellow = 10"
846,"purple = 50, red = 30, yellow = 20"
847,"purple = 50, red = 30, yellow = 30"
848,"purple = 50, red = 30, yellow = 40"
849,"purple = 50, red = 30, yellow = 50"
850,"blue = 10, green = 10, red = 40"
851,"blue = 10, green = 20, red = 40"
852,"blue = 10, green = 30, red = 40"
853,"blue = 10, green = 40, red = 40"
854,"blue = 10, green = 50, red = 40"
855,"blue = 10, purple = 10, red = 40"
856,"blue = 10, purple = 20, red = 40"
857,"blue = 10, purple = 30, red = 40"
858,"blue = 10, purple = 40, red = 40"
859,"blue = 10, purple = 50, red = 40"
860,"blue = 10, red = 40, yellow = 10"
861,"blue = 10, red = 40, yellow = 20"
862,"blue = 10, red = 40, yellow = 30"
863,"blue = 10, red = 40, yellow = 40"
864,"blue = 10, red = 40, yellow = 50"
865,"blue = 20, green = 10, red = 40"
866,"blue = 20, green = 20, red = 40"
867,"blue = 20, green = 30, red = 40"
868,"blue = 20, green = 40, red = 40"
869,"blue = 20, green = 50, red = 40"
870,"blue = 20, purple = 10, red = 40"
871,"blue = 20, purple = 20, red = 40"
872,"blue = 20, purple = 30, red = 40"
873,"blue = 20, purple = 40, red = 40"
874,"blue = 20, purple = 50, red = 40"
875,"blue = 20, red = 40, yellow = 10"
876,"blue = 20, red = 40, yellow = 20"
877,"blue = 20, red = 40, yellow = 30"
878,"blue = 20, red = 40, yellow = 40"
879,"blue = 20, red = 40, yellow = 50"
880,"blue = 30, green = 10, red = 40"
881,"blue = 30, green = 20, red = 40"
